セクション	コンポーネント	要素ID/クラス	タイプ	表示文言/ラベル	入出力	初期値/状態	備考	取得内容
基本設定	氏名表示	.readonly-value	テキスト表示	氏名	出力	メサイア太郎	読み取り専用	表示テキスト
基本設定	ショップ名表示	.readonly-value	テキスト表示	ショップ名	出力	mesaia japan	読み取り専用	表示テキスト
基本設定	セラーID表示	.readonly-value	テキスト表示	セラーID	出力	AS～～	読み取り専用	表示テキスト
基本設定	SLC会員番号表示	.readonly-value	テキスト表示	SLC会員番号	出力	AZ001	読み取り専用	表示テキスト
月間目標設定	利益目標入力	#monthly-profit-goal	数値入力	利益目標	入出力	3	min=0、step=1、単位「万円」	input.value
月間目標設定	利益率目標入力	#profit-rate-goal	数値入力	利益率目標	入出力	10	min=0、step=1、単位「%」	input.value
月間目標設定	売上目標入力	#monthly-sales-goal	数値入力	売上目標	入出力	30	min=0、step=1、単位「万円」	input.value
月間目標設定	原価率表示	#cost-rate	テキスト表示	原価率	出力	90	読み取り専用（利益率目標から自動計算）	textContent
月間目標設定	原価金額表示	#purchase-estimate	テキスト表示	原価金額	出力	27	読み取り専用（売上目標・利益目標から自動計算）	textContent
リサーチ設定	粗利益率入力	.setting-input	数値入力	粗利益率	入出力	5	min=0、単位「%以上を表示」	input.value
リサーチ設定	予測30日販売数入力	.setting-input	数値入力	予測30日販売数	入出力	1	min=0、単位「個以上を表示」	input.value
リサーチ設定	知財表示切替	.toggle input[type='checkbox']	チェックボックス	知財	入出力	チェックON（表示）	data-on-label=表示、data-off-label=非表示	input.checked
リサーチ設定	大型表示切替	.toggle input[type='checkbox']	チェックボックス	大型	入出力	チェックON（表示）	data-on-label=表示、data-off-label=非表示	input.checked
リサーチ設定	関税割合入力	.setting-input	数値入力	関税割合	入出力	20.00	step=0.01、min=0、単位「%」	input.value
リサーチ設定	送料係数入力	.setting-input	数値入力	送料係数	入出力	1.2	step=0.1、min=0	input.value
リサーチ設定	セラーデータ自動収集切替	.toggle input[type='checkbox']	チェックボックス	セラーデータ自動収集	入出力	チェックON（有効）	トグル表示は「有効/無効」	input.checked
リサーチ設定	Amazonポイント加味切替	.toggle input[type='checkbox']	チェックボックス	Amazonポイントを加味する	入出力	チェックON（有効）	トグル表示は「有効/無効」	input.checked
リサーチ設定	Amazonクーポン加味切替	.toggle input[type='checkbox']	チェックボックス	Amazonクーポンを加味する	入出力	チェックON（有効）	トグル表示は「有効/無効」	input.checked
リサーチ設定	対象外ショップ選択	input[name='target_shop']	チェックボックス群	対象外ショップ	入出力	すべて未選択	複数選択可（Amazon/Yahoo!/楽天/ヨドバシ）	選択中value配列
リサーチ設定	SLCサービス併用選択	input[name='slc_usage']	ラジオボタン	SLCサービス併用	入出力	併用中	単一選択（併用中/未併用）	選択中value
リサーチ設定	1点あたりの必要経費入力	#slc-cost	テキスト入力(数値)	1点あたりの必要経費	入出力	500円（併用中時disabled）	inputmode=numeric、単位「円」	input.value
リサーチ設定	ASINスコア算出期間選択	#term-select	セレクトボックス	ASINスコア算出期間	入出力	標準	選択肢（短期/標準/長期/カスタマイズ[hidden]）	select.value
リサーチ設定	算出期間A入力	#term-a	数値入力	A.データ範囲	入出力	90（通常時は表示ラベルのみ）	カスタマイズ時のみ入力表示・編集可	input.value
リサーチ設定	算出期間B入力	#term-b	数値入力	B.時間重み	入出力	60（通常時は表示ラベルのみ）	カスタマイズ時のみ入力表示・編集可	input.value
リサーチ設定	算出期間C入力	#term-c	数値入力	C.周期判定	入出力	60（通常時は表示ラベルのみ）	カスタマイズ時のみ入力表示・編集可	input.value
画面下部	戻るボタン	.btn	ボタン	戻る	入力	活性	クリック操作	click
画面下部	更新ボタン	.btn.primary	ボタン	更新	入力	活性	クリック操作	click
画面下部	更新完了トースト	#save-toast	トースト表示	✅設定を更新しました	出力	非表示（初期）	更新ボタンクリック時にモーダル風トーストを3秒表示	textContent
